

modetest -M amdgpu -s  111@70:1920x1080


    +----------------------------------------------------------------------+
    ¦                 • MobaXterm Personal Edition v21.5 •                 ¦
    ¦               (SSH client, X server and network tools)               ¦
    ¦                                                                      ¦
    ¦ ? SSH session to srishanm@10.138.129.9                               ¦
    ¦   • Direct SSH      :  ?                                             ¦
    ¦   • SSH compression :  ?                                             ¦
    ¦   • SSH-browser     :  ?                                             ¦
    ¦   • X11-forwarding  :  ?  (remote display is forwarded through SSH)  ¦
    ¦                                                                      ¦
    ¦ ? For more info, ctrl+click on help or visit our website.            ¦
    +----------------------------------------------------------------------+

Welcome to Ubuntu 20.04.4 LTS (GNU/Linux 5.15.0-56-generic x86_64)

 * Documentation:  https://help.ubuntu.com
 * Management:     https://landscape.canonical.com
 * Support:        https://ubuntu.com/advantage

107 updates can be applied immediately.
To see these additional updates run: apt list --upgradable

New release '22.04.1 LTS' available.
Run 'do-release-upgrade' to upgrade to it.

Your Hardware Enablement Stack (HWE) is supported until April 2025.
Last login: Tue Jan  3 14:55:08 2023 from 10.136.38.122
srishanm@TRX40-1:~$
srishanm@TRX40-1:~$
srishanm@TRX40-1:~$ ssh root@10.136.44.89
Password:
localhost ~ # cd /
localhost / #
localhost / # dmesg -C
localhost / # dmesg -w
[ 4077.277856] PM: suspend entry (s2idle)
[ 4077.306696] Filesystems sync: 0.028 seconds
[ 4077.306713] PM: Preparing system for sleep (s2idle)
[ 4077.310157] Freezing user space processes ... (elapsed 0.000 seconds) done.
[ 4077.311159] OOM killer disabled.
[ 4077.311160] Freezing remaining freezable tasks ... (elapsed 0.000 seconds) done.
[ 4077.312145] PM: Suspending system (s2idle)
[ 4077.312332] sound pcmC2D0c: PM: calling do_pcm_suspend+0x0/0x23 @ 9381, parent: card2
[ 4077.312339] usb 4-1.4: PM: calling usb_dev_suspend+0x0/0x14 @ 5300, parent: 4-1
[ 4077.312343] sound pcmC2D0c: PM: do_pcm_suspend+0x0/0x23 returned 0 after 0 usecs
[ 4077.312345] sound pcmC2D0p: PM: calling do_pcm_suspend+0x0/0x23 @ 9381, parent: card2
[ 4077.312349] sound pcmC2D0p: PM: do_pcm_suspend+0x0/0x23 returned 0 after 0 usecs
[ 4077.312355] input input18: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: 0003:03F0:046B.0003
[ 4077.312361] input input18: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312372] usb 3-1.5: PM: calling usb_dev_suspend+0x0/0x14 @ 6679, parent: 3-1
[ 4077.312375] leds input15::mute: PM: calling led_suspend+0x0/0x3f @ 9381, parent: input15
[ 4077.312379] usb 3-1.3: PM: calling usb_dev_suspend+0x0/0x14 @ 4817, parent: 3-1
[ 4077.312381] leds input15::mute: PM: led_suspend+0x0/0x3f returned 0 after 0 usecs
[ 4077.312384] input input15: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: 0003:03F0:056B.0002
[ 4077.312388] input input15: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312392] input input14: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: 0003:03F0:056B.0002
[ 4077.312395] input input14: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312407] rfkill rfkill1: PM: calling rfkill_suspend+0x0/0x21 @ 9381, parent: hci0
[ 4077.312412] rfkill rfkill1: PM: rfkill_suspend+0x0/0x21 returned 0 after 0 usecs
[ 4077.312418] input input13: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: card1
[ 4077.312422] input input13: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312425] sound pcmC1D6c: PM: calling do_pcm_suspend+0x0/0x23 @ 9381, parent: card1
[ 4077.312425] usb 3-1.2: PM: calling usb_dev_suspend+0x0/0x14 @ 8261, parent: 3-1
[ 4077.312426] usb 4-1.3: PM: calling usb_dev_suspend+0x0/0x14 @ 8263, parent: 4-1
[ 4077.312430] sound pcmC1D6c: PM: do_pcm_suspend+0x0/0x23 returned 0 after 0 usecs
[ 4077.312434] sound pcmC1D0c: PM: calling do_pcm_suspend+0x0/0x23 @ 9381, parent: card1
[ 4077.312438] sound pcmC1D0c: PM: do_pcm_suspend+0x0/0x23 returned 0 after 0 usecs
[ 4077.312442] sound pcmC1D0p: PM: calling do_pcm_suspend+0x0/0x23 @ 9381, parent: card1
[ 4077.312445] sound pcmC1D0p: PM: do_pcm_suspend+0x0/0x23 returned 0 after 0 usecs
[ 4077.312448] sound pcmC1D1p: PM: calling do_pcm_suspend+0x0/0x23 @ 9381, parent: card1
[ 4077.312452] sound pcmC1D1p: PM: do_pcm_suspend+0x0/0x23 returned 0 after 0 usecs
[ 4077.312459] input input12: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: card0
[ 4077.312462] input input12: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312465] input input11: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: card0
[ 4077.312468] input input11: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312471] input input10: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: card0
[ 4077.312474] input input10: PM: input_dev_suspend+0x0/0x47 returned 0 after 0 usecs
[ 4077.312477] input input9: PM: calling input_dev_suspend+0x0/0x47 @ 9381, parent: card0
